genex	geney	r
Abi	SCAR	0.9283649694699753
Abl	be	0.9276552306701787
Abl	SMC5	0.915570305821316
Abl	gish	0.9051622588889618
ab	Dys	0.9306964080268572
ab	Cyp1	0.9287962485251191
ab	l(1)G0320	0.9273534709352018
abs	CG34200	0.7940324632043136
abs	CG8838	0.7599534740462518
abs	CG32243	0.740492294729939
Ac76E	vari	0.8511843757816693
Ac76E	trh	0.8273326527810283
Ac76E	CG12236	0.8243616386417574
Ac78C	Mys45A	0.9844178471018857
Ac78C	CG5033	0.9800143161463865
Ac78C	CG7006	0.9797833815321805
Acam	CG9147	0.8540852340173132
Acam	Mthfs	0.84871935850996
Acam	CG6665	0.8225888276854727
Acbp1	Cpr67B	0.8685844698708627
Acbp1	CG8134	0.8649191063286387
Acbp1	Obp56f	0.8507370842785917
AcCoAS	Aef1	0.9345163605454742
AcCoAS	bru3	0.9070972467031926
AcCoAS	DNAlig1	0.8822610109131492
ACC	Nup133	0.9078904031604131
ACC	Sec13	0.8917962839039775
ACC	hyd	0.8896400847306946
Acer	CG4702	0.906749692372971
Acer	Ir7c	0.9000237727675449
Acer	CG7631	0.852044355217735
Acf	Iswi	0.8843542419723656
Acf	Upf2	0.8799504523812436
Acf	tral	0.8725351615787503
Ack-like	gek	0.9033153760027619
Ack-like	Drsl3	0.8947963704451177
Ack-like	CG33688	0.8642224995078776
Ack-like	Pitslre	0.9382549135355406
Ack-like	CG10116	0.9282059659607036
Ack-like	CG12116	0.926325801504025
Ack	Hip1	0.963631508834591
Ack	dock	0.958135653524314
Ack	Klp68D	0.9454237616058901
Acn	hyx	0.8362158821223655
Acn	Yeti	0.8361923208318707
Acn	U2A	0.8332845968343928
Acp26Aa	Aprt	0.8775083772366403
Acp26Aa	fd19B	0.8431685366886565
Acp26Aa	CG2681	0.8386846367861659
Acp26Ab	Cyp4g15	0.8572489782374771
Acp26Ab	Spt3	0.8519412143991831
Acp26Ab	CG17124	0.8516717891972354
Acp29AB	CG8230	0.9035866751557626
Acp29AB	CG40635	0.8911717150362213
Acp29AB	Trf	0.8617111649053365
Acp36DE	sona	0.9005057426868656
Acp36DE	Atxn7	0.8625478032789398
Acp36DE	ninaB	0.8474291954874132
Acp53Ea	Reph	0.8877511791227054
Acp53Ea	pdgy	0.8535995833964043
Acp53Ea	CG10361	0.8451670680830979
Acp65Aa	CG43392	0.8782321119374029
Acp65Aa	CG5078	0.8724818835129444
Acp65Aa	CG15139	0.8696061773641003
Acp76A	CR34320	0.9272469886617175
Acp76A	side-IV	0.9235358884373819
Acp76A	GramD1B	0.9234265447548162
Acph-1	CG42561	0.8846728779419386
Acph-1	mTerf5	0.8393916611439255
Acph-1	CG14763	0.8089759922925199
Acsl	Dhap-at	0.9046025132452217
Acsl	Doa	0.9040628029024118
Acsl	sgg	0.8986605747936585
Act42A	CG42663	0.8619779167019999
Act42A	CG2126	0.8429465749353339
Act42A	ttk	0.8353196153885364
Act5C	Arpc1	0.9327442392559088
Act5C	Arpc5	0.9321673862119084
Act5C	Arp2	0.8946406866419034
Act87E	CG7044	0.7174740004301198
Act87E	vap	0.651253073307637
Act87E	mRNA-cap	0.6323593243704322
Actbeta	CG34030	0.8784647253863531
Actbeta	CG32249	0.8768189210470894
Actbeta	Octbeta1R	0.8738866324978718
Actn3	mtDNA-helicase	0.9019661160565852
Actn3	CG34161	0.8822009111492812
Actn3	puf	0.8682806656728373
ACXA	Ilp1	0.9407219141888081
ACXA	sPLA2	0.9304050011683817
ACXA	PIG-Wb	0.9271209431139507
ACXC	Hex-C	0.8742398080086241
ACXC	CG17454	0.8172831482799885
ACXC	ttk	0.8130749340778168
ACXD	st	0.8530393945087535
ACXD	CG14718	0.8485648651815744
ACXD	CG10809	0.8063050821387457
ACXE	CG7786	0.8534562120346568
ACXE	sicily	0.8281544507516363
ACXE	dmpd	0.8108395537919876
Ada1-1	aop	0.867372744674297
Ada1-1	dl	0.8527604247126856
Ada1-1	CG12877	0.8479518881927669
Ada1-2	Torsin	0.8462394562828028
Ada1-2	CG14014	0.8455533721571344
Ada1-2	Nf-YC	0.82707946333251
Ada2a	Rpb4	1
Ada2a	MED14	0.9323323074240474
Ada2a	Rpb5	0.9259235269335823
Ada2b	Sgf29	0.9510656969120553
Ada2b	br	0.934741446632408
Ada2b	yin	0.9331530749748737
Ada	Cp7Fb	0.8960270519984568
Ada	CG9632	0.8649008461295685
Ada	Osi18	0.856265934065552
ADD1	pb	0.9558068839817968
ADD1	CG10761	0.9396974749788413
ADD1	CG42866	0.9332936436601725
AdenoK	CG6023	0.7857620130908555
AdenoK	TwdlH	0.7636574476596562
AdenoK	VhaM9.7-a	0.7602767915940455
Adgf-A2	Gr10a	0.8808808702616439
Adgf-A2	CG11752	0.8666865998841956
Adgf-A2	Jheh3	0.8595082827352589
Adgf-B	yellow-b	0.8512175868341759
Adgf-B	CG43085	0.8196332074681839
Adgf-B	CG34459	0.8168629137260042
Adh	CG12134	0.8224246606883223
Adh	CG9702	0.79491127501024506
Adh	CG3295	0.7919032248152649
Adk2	CG17712	0.8559243540348205
Adk2	CG42733	0.8529172230159245
Adk2	CG1418	0.8438874396696183
Adk3	Anp	0.9227846723427702
Adk3	JhI-21	0.9107041392727164
Adk3	CG31740	0.9071843267221188
AdSS	CG6304	0.8483970068448606
AdSS	COX7A	0.8356490787199299
AdSS	Parg	0.8012909710063036
Aduk	Z600	0.939210013428721
Aduk	eater	0.9344426092913635
Aduk	CG33288	0.9281214163033132
Ady43A	amd	0.9056784593917996
Ady43A	Ir92a	0.847606458965464
Ady43A	CG6508	0.8320574271467277
Aef1	DNApol-delta	0.9455302881301718
Aef1	bru3	0.9432416750755712
Aef1	PR-Set7	0.935121320723331
aft	Mur2B	0.8230332119466849
aft	Ptp4E	0.7873623382028275
aft	CG30183	0.7759872949262642
Ag5r2	CG1607	0.9530343865578448
Ag5r2	CG31445	0.9360881723031984
Ag5r2	HPS4	0.9284675335493526
Ag5r	CG4617	0.8964164459943882
Ag5r	l(2)gd1	0.8634509495903105
Ag5r	CG12481	0.8606887914099175
AgmNAT	CG12420	0.8920599591753604
AgmNAT	prtp	0.8786578307848365
AgmNAT	CG8740	0.8635793733182048
AGO1	CG2201	0.9214026163689053
AGO1	muc	0.9137911233416262
AGO1	Src42A	0.903825384326319
AGO2	Dp	0.9540586652164711
AGO2	tral	0.9406769299947171
AGO2	Atx2	0.9347832838796384
AGO3	CG30285	0.8787351849505228
AGO3	Ir56a	0.8537905587233813
AGO3	ImpE1	0.8414677012752333
ago	CG3511	0.9125013530271195
ago	CG8578	0.9084266114998929
ago	Rok	0.9048438197482146
Agpat3	Lip2	0.888688766801554
Agpat3	CG6201	0.8854213969494129
Agpat3	CG13144	0.8833056039897265
agt	CG42582	0.9518494771426287
agt	Ppa	0.9460211421896898
agt	Cpr92A	0.9438399435652443
AhcyL1	CG33774	0.8939766138391974
AhcyL1	cnk	0.8853550768056602
AhcyL1	row	0.8772795061354149
Ahcy	Nap1	0.9149037617855718
Ahcy	faf	0.903351086449913
Ahcy	Sam-S	0.8976631981070854
AIF	CG15741	0.9086372622119139
AIF	RagA-B	0.9046682300500599
AIF	Tctp	0.9041466830105284
AIMP1	CG8635	0.8292219661370981
AIMP1	CG13300	0.8159762558585287
AIMP1	CG32506	0.8099993876285304
Akap200	tap	0.8695998762883087
Akap200	CG5270	0.8688859544801106
Akap200	CG42689	0.8580342926904277
Akh	CG14691	0.9271571228653367
Akh	dysc	0.92660168776394
Akh	CG34124	0.9250000769353347
akirin	pont	0.9182006019503346
akirin	Cpsf5	0.8806693229104925
akirin	larp	0.8771473709097534
Akt1	CG11180	0.9225055781467812
Akt1	Hug	0.9064032415532546
Akt1	kz	0.8799407887725441
Aladin	eIF3g1	0.9065985685172502
Aladin	CG6347	0.90184931426427
Aladin	CG4880	0.8771530650291557
AlaRS	glob1	0.8809157321906859
AlaRS	CG11399	0.8593276675094426
AlaRS	CG3356	0.85610725558169
Alas	Tim17b	0.7250703881455115
Alas	Ice1	0.7227267898560562
Alas	Df31	0.7179226297691064
Ald1	CG42455	0.8978396993059488
Ald1	Eno	0.8841761655785181
Ald1	CG5114	0.8521270180723359
Alg10	dock	0.8887958861470197
Alg10	Rab7	0.888633827304887
Abl	Alg10	0.87826408856565
Alg11	CG14857	0.9035493398686847
Alg11	CG16739	0.8881886156411023
Acp76A	Alg11	0.8734609284999124
Alg14	Ir92a	0.9028686700511894
Alg14	zyd	0.9028680107940585
Alg14	CG11034	0.8941880581913706
Alg3	CG2930	0.8729645709662328
Alg3	edin	0.8722584848486258
Alg3	pxb	0.8610551870699937
Alh	gpp	0.9579177367570048
Alh	Mdh2	0.9392894780119853
Alh	CG4281	0.93521918653669045
AlkB	CG2765	0.9096663948216254
AlkB	RpL24-like	0.875588634951855
AlkB	CG31111	0.8709142910306518
Alk	b	0.8915716464529697
Alk	Ssadh	0.8795319767427147
Alk	CG9649	0.8551217963084009
al	CG34402	0.8750638604376196
al	kl-3	0.8679856138152935
al	CheA46a	0.8596206656622064
Alp11	Obp19c	0.9050294183558811
Alp11	Ir8a	0.8917884435169218
Alp11	obst-J	0.8888904725849155
Alp12	CG1971	0.8379739003493707
Alp12	CG10795	0.8317187016756249
Alp12	Cep89	0.8289079792024833
Alp5	CG31556	0.7976309211704944
Alp5	CG42749	0.7604442685341837
Alp5	Mks1	0.7586456359112349
Alp7	REG	0.8313773390667122
Alp7	eIF1A	0.8014813713515748
Alp7	Ipp	0.7641612249286127
Alp8	Ndg	0.8574596414122759
Alp8	CG14964	0.8311505329893433
Alp8	CG6236	0.8223197886849078
alpha-Cat	CG6628	0.9031911715838574
alpha-Cat	Vajk4	0.8631285180774609
alpha-Cat	hdm	0.8478574834779152
alpha-Catr	CG31104	0.6854776134644156
alpha-Catr	CG1074	0.675282479193354
alpha-Catr	Him	0.6679512796526279
alpha-Est1	dpr14	0.8820820444476652
alpha-Est1	Jon44E	0.7890129496296211
alpha-Est1	ms(2)35Ci	0.7704714969594442
alpha-Est2	sro	0.7550067881354096
alpha-Est2	CG12239	0.7482557311931314
alpha-Est2	Nlg1	0.7391804079510917
Acp65Aa	alpha-Est4	0.8610681083189448
alpha-Est4	CkIIalpha-i1	0.8568408984413562
alpha-Est4	CG14331	0.8506527969765176
alpha-Est5	reb	0.8721526986520376
alpha-Est5	CG5174	0.8231018376002979
alpha-Est5	CG33642	0.8160998160254147
alpha-Est6	CG44836	0.9074050433567037
alpha-Est6	CG15528	0.8794543256923901
alpha-Est6	tinc	0.8760190844356222
alpha-Est9	Upf3	0.8646590244518222
alpha-Est9	DIP1	0.8551533625102985
alpha-Est9	Pdcd4	0.8487052487021901
alpha-Man-Ic	CG8031	0.8738952649316247
alpha-Man-Ic	fat-spondin	0.8402316605234348
alpha-Man-Ic	whip	0.8368467953873843
alpha-Man-IIa	Hsp60D	0.8256470012491726
alpha-Man-IIa	CG5439	0.8208154937945268
alpha-Man-IIa	CG7294	0.8151647193037739
alpha-Man-IIb	Nab2	0.9462717842714282
alpha-Man-IIb	Axud1	0.9112726839525587
alpha-Man-IIb	Dtg	0.8815370961291895
alpha4GT1	CG42826	0.9304662692437712
alpha4GT1	CG42676	0.9129717345416243
alpha4GT1	CG10383	0.8994819773245396
alpha4GT2	Vsp37A	0.9007560223953658
alpha4GT2	sbb	0.890816187594764
alpha4GT2	tRNA:Val-AAC-2-3	0.8746712853506323
alphaCOP	beta'COP	0.9638868926464008
alphaCOP	gammaCOP	0.9557099159593859
alphaCOP	zetaCOP	0.9543010342393047
alphaTry	CG10353	0.7763669261090111
alphaTry	Rcp	0.7366101532978462
alphaTry	"NA"	0.7295831797002873
alphaTub84D	asl	0.7855659718417145
alphaTub84D	Aos1	0.7752707503054209
alphaTub84D	CG16791	0.76395041889851
alphaTub85E	CG30151	0.8056516248913039
alphaTub85E	Swim	0.7699634175945296
alphaTub85E	Mondo	0.7595794548903203
alph	Smg5	0.9183792102314824
alph	lsn	0.9137662738920942
alph	Hsc70Cb	0.9091616755930619
Alr	GstE14	0.9076050892076011
Alr	TwdlE	0.8660366039132966
Alr	Vps20	0.854865220075958
Als2	CG34402	0.8861089730524162
Als2	CG11147	0.8679853093631084
Als2	Tsp	0.8640949949686129
Amacr	CG32201	0.897344434305047
Amacr	CG8191	0.870031666651893
Amacr	CG34444	0.8543782583190809
amd	CG1806	0.8925675417496172
amd	CecA1	0.8817169573768914
Amnionless	CG3225	0.8934907885047743
Amnionless	CG6999	0.8665181789894131
Amnionless	CG9269	0.8472702049968925
AMPdeam	ph-p	0.8328285504599914
AMPdeam	Syt7	0.7930548234389214
AMPdeam	Sp7	0.7806404175572841
Amph	CG15239	0.9057900574601291
Amph	CG6296	0.9035110064591653
Amph	CG15398	0.8895546498718767
AMPKalpha	SNF4Agamma	0.9914348162680932
AMPKalpha	kermit	0.8781433761701009
AMPKalpha	nenya	0.8726261409060894
Amun	CG3847	0.9392333576788948
Amun	brm	0.9367538474368017
Amun	mor	0.9320260829821088
Amy-p	CG18586	0.9223499104111204
Amy-p	CG2962	0.899206387264306
Amy-p	Rab27	0.8946010390979247
ana2	SmydA-2	0.9536660454897079
ana2	wg	0.9284521612215146
ana2	Ppa	0.9241660685491081
ana3	grau	0.8643234381739996
ana3	CG14893	0.8563665318875623
ana3	pho	0.8282280799323775
Ance-3	CG34033	0.840033409999071
Ance-3	CG13334	0.8220000275560972
Ance-3	CG31088	0.7707023740270531
Ance-4	CG14408	0.8538378149030131
Ance-4	CG31415	0.8092262546367487
Ance-4	CG9411	0.7992943592454581
Ance-5	Picot	0.9224498380098429
Ance-5	CG9672	0.9003957229993149
Ance-5	LpR2	0.8857304360410772
Ance	bib	0.91482130516583815
Ance	CG17186	0.9069821058276336
Ance	stl	0.9018172600947341
Andorra	Trs20	0.8573537370722619
Andorra	CG9304	0.8475750563548369
Andorra	CG44836	0.841576439620543
angel	CG44325	0.867875682439426
angel	Zip88E	0.8664977927203911
angel	CG2656	0.8650970809760548
Ankle2	VhaPPA1-1	0.9298185801173382
Ankle2	Cdc16	0.9048952841379557
Ankle2	CG4297	0.9048656595852823
Ank	Tl	0.7789462979436615
Ank	noi	0.7659682632053102
Ank	CG33965	0.7393273354726976
anne	Rexo5	0.885991757915826
anne	Nxt1	0.8201748399547167
anne	Nup214	0.8186785812083067
Anp	Vml	0.9455655930104685
Anp	asRNA:CR43243	0.9448532184262987
Anp	CG11597	0.9446367245624838
AnxB10	CG15005	0.8901414466944232
AnxB10	CG34265	0.8841830586870395
AnxB10	Mst57Dc	0.8714378649202619
aop	pix	0.8570736335557452
aop	Tat	0.8257739666330344
Aos1	lwr	0.9191629004736036
Aos1	Su(var)2-10	0.8813611615379677
Aos1	for	0.868408255152751
AOX1	PCB	0.889127473574964
AOX1	CG2127	0.8859025670602131
AOX1	DCX-EMAP	0.8705698822261131
AOX2	CG42542	0.9249789317120468
AOX2	nSMase	0.902897260583586
AOX2	CG5589	0.8432242953643834
AOX3	Diedel3	0.8480444068756496
AOX3	CG15184	0.8164044290119903
AOX3	Dhfr	0.8160831033366571
AOX4	Dhpr	0.8150410717000828
AOX4	ppk28	0.793696655549873
AOX4	vlc	0.7869669418018275
AP-1-2beta	AP-2mu	0.9560928012831708
AP-1-2beta	ClC-c	0.943275096172151
AP-1-2beta	AP-2alpha	0.9429617277756982
AP-1mu	CG8712	0.8543208559701522
AP-1mu	CG43401	0.8340239310918415
AP-1mu	NAAT1	0.829743557041054
AP-2alpha	Atf3	0.9266616461701339
AP-2alpha	ClC-c	0.9172878549372604
AP-2mu	AP-2sigma	0.9531115090166488
AP-2alpha	AP-2mu	0.9036781781151442
AP-1-2beta	AP-2sigma	0.9377973346192616
AP-2sigma	MED24	0.9087989459107435
Apc2	Ir52c	0.8230406068703262
Apc2	CG10139	0.8164958794075869
Apc2	tap	0.8124810566073601
APC4	mr	0.9585753462398986
APC4	Cdc16	0.9478625387536124
APC4	ida	0.9443769737663414
aph-1	CG1529	0.9518875653153357
aph-1	Gmer	0.9189908200336124
aph-1	Pih1D1	0.9035388574271135
aPKC	CG6813	0.8953811856010727
aPKC	Idh	0.8836174226575396
aPKC	Gbp3	0.8833513055056101
Aplip1	twin	0.8611470847880152
Aplip1	spn-E	0.8279931357361854
Aplip1	SIFa	0.8268160146311798
Apl	CHES-1-like	0.8935540468496966
Apl	Rpp20	0.8840785435803018
Apl	uzip	0.8717152832622285
apn	iPLA2-VIA	0.9207910649325437
apn	Cbl	0.8895589501594768
apn	HDAC3	0.8620757357221053
apolpp	CG13021	0.8888025396669966
apolpp	na	0.8481927916000432
apolpp	Cluap1	0.8270353031236645
Apoltp	Pih1D1	0.8901459000082926
Apoltp	CG1529	0.8446430692300574
Apoltp	RhoGEF4	0.8302951420373641
ap	CG41378	0.9235021320035262
ap	wge	0.9133072433863123
ap	Srp14	0.8973868437127536
APP-BP1	Eig71Ed	0.7313192389804146
APP-BP1	CG7744	0.7242529016373144
APP-BP1	CG34007	0.7178996629175683
Appl	DnaJ-H	0.8883276964241492
Appl	CG17687	0.8863459215909774
Appl	Tapdelta	0.8862747169527505
Aprt	tra	0.7691012218645329
Aprt	CG1827	0.7679266627289478
aqz	pim	0.9249065796377341
aqz	Sse	0.9097544977442159
aqz	MESR4	0.9077037119072666
ara	Pph13	0.9194015373255581
ara	AstCC	0.9110128949943403
ara	org-1	0.9081140706945785
Arc1	CG15203	0.830395266958999
Arc1	Cat	0.8204218236806267
Arc1	ProRS-m	0.8031041617490083
Arc2	CG18745	0.90308617333633
Arc2	CG12521	0.8896249022944851
Arc2	Naam	0.8862706089842535
Arc42	CG9222	0.8835014275709894
Arc42	Cortactin	0.872432404984428
Arc42	slif	0.8607944926472119
Arf102F	Catsup	0.8573942099918789
Arf102F	cype	0.8195760915699608
Arf102F	Nup93-1	0.8128609402580946
Arf51F	Sep1	0.9670433650342433
Arf51F	Csk	0.9484203786809684
Arf51F	CG8578	0.9404256847212665
ArfGAP1	Npc2d	0.8864754444310391
ArfGAP1	ocm	0.8839165868849199
ArfGAP1	Brca2	0.8799956096563698
Argl	CG14062	0.8381869139214037
Argl	CG15169	0.8284291962120196
Argl	Nab2	0.8023758157173634
arg	Tsp42Ej	0.8895830511589696
arg	jub	0.8136413451219304
arg	CG17508	0.802211066447859
ArgRS	mge	0.9784020947559269
ArgRS	bor	0.9721615839788237
ArgRS	CG14543	0.9706234148147133
ari-2	fig	0.9067669786319839
ari-2	pch2	0.906523895694788
ari-2	CG2199	0.9018611587991057
Arl1	Vps52	0.8563716463768433
Arl1	Tap42	0.8142869800436725
Arl1	CR41606	0.8115458094781396
Arl2	msps	0.7558209786330542
Arl2	Rsf1	0.7507527545293097
Arl2	piwi	0.7457105664187976
armi	Sh3beta	0.888455135132363
armi	CG11298	0.8774481021274503
armi	daw	0.845959075137469
arm	CG9302	0.8674169953549324
arm	Lsm10	0.8583041970308047
arm	CG43209	0.8455403461387399
Arp1	DCTN1-p150	0.967556244709293
Arp1	CG31368	0.9602005278546566
Arp1	east	0.9387103799755299
Arp2	Arpc2	0.9748651116712351
Arp2	Arpc5	0.9600173593148686
Arp2	Sra-1	0.9277930654128872
Arp53D	CG41434	0.830925267532723
Arp53D	CG18538	0.8254004128940954
Arp53D	CG31406	0.8249269427477214
Arp8	HDAC3	0.9486202257829988
Arp8	Dsor1	0.948332849695767
Arp8	Rho1	0.9424941206119755
Arpc1	SCAR	0.9411812271797747
Arpc1	Arpc2	0.9177969789346341
Arpc2	Sra-1	0.9239825699928474
Arpc5	Hem	0.9382349023248517
Arr1	pot	0.8870705234614725
Arr1	CG4329	0.8132951635657754
Arr1	CG13084	0.8032059622271751
Arr2	CG6195	0.9229111947917575
Arr2	CG9449	0.9196541252126084
Arr2	CG42750	0.9126422230049209
Art1	sov	0.942623520667724
Art1	RnrL	0.9227948709009307
Art2	RYa	0.8697784749718068
Art2	fne	0.8555318083206329
Art2	CG4520	0.8260449037533882
Art4	CG3071	0.8792762727911679
Art4	Nopp140	0.8661527008540076
Art4	tweek	0.8576685438633942
Art6	Cyp4s3	0.8839296248218996
Alg14	Art6	0.8677336821516697
Art6	CG11885	0.8608762604638577
Art7	stl	0.8677075299394345
Art7	MetRS-m	0.8618768689832605
Art7	Sobp	0.8608328898011444
Art9	CG1889	0.9017769624405295
Art9	CG15255	0.8976204417513705
Art9	mu2	0.8962014432373503
Arv1	CG4390	0.9300120702968921
Arv1	CG8343	0.8825447804422808
Arv1	comr	0.8648120231423521
arx	CG33309	0.9414015449294031
arx	CG12911	0.9119027150825828
arx	HPS1	0.8956278568402152
ARY	CG44153	0.6941684404605373
ARY	Cyp4e1	0.6700116066292655
ARY	Tdc2	0.6692886671280251
Asciz	tRNA:Thr-TGT-2-3	0.9655221513989806
Asciz	CG15443	0.9429814366900763
Asciz	CG17666	0.9388422423551425
ash1	lace	0.910216475665331
ash1	CG12877	0.9086807296592265
ash1	JIL-1	0.9049423396606774
Ask1	sd	0.9096807025507824
Ask1	prod	0.888048745498552
Ask1	Sting	0.886843848718602
asl	fzr2	0.9114869120558984
asl	CG6629	0.9020860923724093
asl	ste24a	0.8685292653092038
AsnRS-m	gdl	0.9141944388031842
Arr2	AsnRS-m	0.887014930230421
AsnRS-m	CG3788	0.8853393572469114
AsnRS	Osi18	0.8303477835566517
AsnRS	Dmtn	0.7820782807906618
AsnRS	CG8635	0.7724875229005773
asp	Gr32a	0.9634303521718339
asp	Ssl	0.9282503870934773
asp	CG6465	0.921232545265383
asRNA:CR42547	kl-3	0.8847457446571516
asRNA:CR42547	CG13202	0.8810543063854678
asRNA:CR42547	CG15443	0.8715615732264288
asRNA:CR43243	Ddc	0.9247804830253706
asRNA:CR43243	CG11597	0.9186920278000583
asRNA:Eig63F-2	CG17249	0.8314176658183892
asRNA:Eig63F-2	mt:tRNA:Asn-GTT	0.8260151245062033
asRNA:Eig63F-2	CG13423	0.8209805185641896
Ass	CG17974	0.9382030833775511
Ass	Eglp3	0.9312249772449227
Ass	Hsp23	0.9279371986807561
AstC-R2	CG11404	0.8388205784755666
AstC-R2	eIF4A	0.8317248465262418
AstC-R2	CG1358	0.7873751018092244
AstCC	Pph13	0.944952942725665
AstCC	CG34404	0.9413145551648705
AstCC	CG14882	0.928238322257421
AstC	wash	0.8435854104960494
AstC	Sema1b	0.833163347430883
AstC	CG14635	0.8148080241576505
asun	boss	0.7937566011714237
asun	Ubr3	0.7834811908209679
asun	puc	0.7604099126978608
Atac2	Rrp4	0.9123847243300861
Atac2	dl	0.9001076549174212
Atac2	CG3071	0.8966463124395357
Atac3	CG6767	0.9202804151963904
Atac3	CG31715	0.8983349102178795
Atac3	Strumpellin	0.8867439530001808
Atf3	ClC-c	0.9109047413315042
Atf3	CG11714	0.8984424089505013
Atf6	Obp83ef	0.9424965658215446
Atf6	CG17575	0.9280896062145507
Atf6	Rtca	0.9260330004369168
Atg12	CG30016	0.8927863814802677
Atg12	mRpS5	0.8844125793924427
Atg12	CG5612	0.8834287602407401
Atg17	CG16852	0.8630291658454882
Atg17	TfIIEbeta	0.8613450099730771
Atg17	CG34124	0.8591621628990033
Atg4b	CG4017	0.9127298910730057
Atg4b	Muc14A	0.875816137394828
Atg4b	CG13631	0.857316310628574
Atg5	CG7806	0.881051399882875
Atg5	CG1943	0.8521014032694744
Atg5	Mppe	0.8416553836867703
atilla	CG7514	0.9225393300426618
atilla	CG18815	0.9090274216922962
atilla	eRF3	0.8827024871857497
atms	Ctr9	0.90561608721707465
atms	CG3909	0.8874981711640962
atms	CG4119	0.799272359055072
ATP6AP2	out	0.8216846953336093
ATP6AP2	CG1304	0.8018291109297184
ATP6AP2	CG11170	0.7964489001734057
Atpalpha	rk	0.865323962741481
Atpalpha	lncRNA:CR42850	0.858966047335495
Atpalpha	Ttc19	0.85793617322246
ATPsynbetaL	rogdi	0.851307004508576
ATPsynbetaL	CG33626	0.8422879591522152
ATPsynbetaL	CG9632	0.8349419680934616
ATPsynbeta	blw	0.9871652962077073
ATPsynbeta	ATPsyngamma	0.9819437066675989
ATPsynbeta	COX5A	0.9780740011833764
ATPsynB	ATPsynCF6	0.9900638014407658
ATPsynB	blw	0.9781107784445316
ATPsynB	COX6B	0.9775749270437626
ATPsynCF6L	CG13500	0.9050843576450777
ATPsynCF6L	CG13884	0.9042878294254805
ATPsynCF6L	CG31207	0.8973798165721614
ATPsynCF6	blw	0.98062009477195
ATPsynCF6	COX6B	0.9773148280019696
ATPsyndelta	Ctr1A	0.9749290280149915
ATPsyndelta	ATPsynO	0.9712426541964838
ATPsyndelta	blw	0.9636160342544122
ATPsynD	ATPsyngamma	0.9643292287774913
ATPsynD	COX5A	0.9445415317177244
ATPsynD	UQCR-C1	0.9417270168103643
ATPsynepsilonL	CG8531	0.8003475017278923
ATPsynepsilonL	mthl1	0.7871064181916124
ATPsynepsilonL	Ugt302C1	0.7711201326800724
ATPsynF	mtd	0.8779838317527653
ATPsynF	GLaz	0.8686037223417051
ATPsynF	Vha16-2	0.8419975182467002
ATPsyngamma	blw	0.9777055752842961
ATPsyngamma	COX5A	0.9770876975758636
ATPsynG	mfrn	0.9628595706688925
ATPsyndelta	ATPsynG	0.9576461728596913
ATPsynG	Ctr1A	0.942939043870128
ATPsynB	ATPsynO	0.9714879981796245
ATPsynO	blw	0.970937316847371
AttB	Rab1	0.7328282418777639
AttB	pAbp	0.7311600956462774
AttB	egl	0.7151712309283484
AttC	CG4537	0.9210276054033929
AttC	CG31798	0.9070831525503763
AttC	Ctr1C	0.8979272071684149
AttD	ClC-b	0.9342275127469276
AttD	Bem46	0.9186758085319465
