genex	geney	idx	idy	r
abd-A	CG15506	17_L5	07_M10	0.39203737425715374
Abd-B	CG1737	15_I11	11_K9	0.3366414758523677
Abd-B	al	15_I11	01_B22	0.3358601358817304
Abd-B	sun	15_I11	14_C16	0.3343866829332553
Abi	Sra-1	07_F24	03_G20	0.49518415347613937
Abi	Hem	07_F24	08_M11	0.43417729539711875
Abi	SCAR	07_F24	09_O24	0.42611603981960733
Abl	nocte	11_M22	04_L12	0.7511368610408029
Abl	Hip1	11_M22	17_L17	0.7035107685130431
Abl	Ack	11_M22	13_M18	0.6687771097187569
ab	CG42361	16_I2	02_B13	0.4802486862137343
ab	Cyp6a2	16_I2	04_M2	0.4767520273899076
ab	CG1835	16_I2	05_B18	0.4374112072425075
abs	cpb	13_P20	02_M1	0.3969158085269739
abs	Slu7	13_P20	13_M12	0.39541015090095366
abs	CG17325	13_P20	02_P7	0.3771089329627632
Ac76E	Pak3	07_G9	03_G9	0.38319925403276817
Ac76E	atms	07_G9	19_M1	0.37409107125087004
Ac76E	CG1582	07_G9	09_K16	0.35721966080269824
Ac78C	CG17119	12_J17	06_B16	0.5956987598182305
Ac78C	gw	12_J17	09_F2	0.5409266938541275
Ac78C	Rpn5	12_J17	18_E1	0.5189827099162271
Acam	ppk15	02_D20	11_P18	0.4048509135345761
Acam	CG34025	02_D20	05_B11	0.3652970681746825
Acam	CG7173	02_D20	17_P1	0.35487834096697957
Acbp1	CG4069	03_E9	08_H9	0.46588800100420946
Acbp1	CG34316	03_E9	16_D6	0.44558466715170053
Acbp1	CG10948	03_E9	01_C18	0.44236035185070943
AcCoAS	CG1418	11_P3	12_B10	0.35668531126807174
AcCoAS	CG14006	11_P3	11_P6	0.3536818082775921
AcCoAS	CG30487	11_P3	11_I7	0.3428370105116787
ACC	Prosbeta5	16_O5	09_P23	0.5337408780152565
ACC	TER94	16_O5	03_G22	0.5153576694198062
ACC	SREBP	16_O5	09_B10	0.5099918547990775
Acer	CG7600	05_E3	16_I8	0.48065325713177653
Acer	CG4461	05_E3	01_H14	0.42195864776725495
Acer	TyrRII	05_E3	03_F12	0.39410917514225047
Acf	Iswi	11_M8	18_A6	0.5088412679360766
Acf	PIP4K	11_M8	06_D14	0.4393745735600243
Acf	ouib	11_M8	01_F3	0.4247211442716552
Ack-like	CG31869	03_K10	17_B19	0.44021256545030135
Ack-like	Mcm2	03_K10	08_L15	0.40397307693225526
Ack-like	nsr	03_K10	15_D20	0.3820796010639022
Ack-like	CG43292	19_O16	19_L11	0.38128401280620516
Ack-like	Gp150	19_O16	17_D19	0.37472758402247824
Ack-like	CG9663	19_O16	06_I22	0.3621791744978121
Ack	dock	13_M18	12_N23	0.8205790560286489
Ack	nocte	13_M18	04_L12	0.7860578192106071
Ack	Hip1	13_M18	17_L17	0.7814854154143424
Acn	Wdr82	13_N8	18_M3	0.519308188305401
Acn	Bre1	13_N8	16_K12	0.4865191152136563
Acn	Rm62	13_N8	19_G10	0.42097693483052007
Acp26Aa	Trax	12_C17	19_F1	0.38426070321307004
Acp26Aa	CG15097	12_C17	02_A16	0.37681290830538194
Acp26Aa	CG14860	12_C17	14_M13	0.3628708730760264
Acp26Ab	SH3PX1	19_N15	13_K18	0.44585847498197556
Acp26Ab	CG34232	19_N15	10_O11	0.4338699709207894
Acp26Ab	Ced-12	19_N15	18_A21	0.4171056228099916
Acp29AB	Spn77Bc	19_I5	01_J2	0.4417274632420055
Acp29AB	Pp1alpha-96A	19_I5	09_L9	0.40755670553283185
Acp29AB	CG10467	19_I5	17_L19	0.39664816320379076
Acp36DE	dpr7	17_P21	17_P23	0.41947666820807983
Acp36DE	Sfp23F	17_P21	15_K20	0.3948945925032323
Acp36DE	GstD7	17_P21	02_P11	0.3665044752248348
Acp53Ea	CG6345	12_E11	19_L20	0.4353908374318305
Acp53Ea	Ppi1	12_E11	12_A4	0.40278242808120895
Acp53Ea	eIF3f2	12_E11	02_J17	0.3782289631466307
Acp65Aa	CG34189	15_D17	12_O3	0.4084187028156159
Acp65Aa	CG42585	15_D17	02_L9	0.38219885848623547
Acp65Aa	Gel	15_D17	07_J14	0.3762514315464424
Acp76A	CG12768	13_G2	08_E18	0.38178261959927745
Acp76A	CG3638	13_G2	03_G7	0.3698716890382112
Acp76A	CG1304	13_G2	05_I4	0.36079409264597134
Acph-1	CG12253	06_E18	06_D12	0.3814779672118203
Acph-1	Fst	06_E18	15_E24	0.31263060312513147
Acph-1	CG6236	06_E18	02_B21	0.3108256370882679
Acsl	RasGAP1	06_G14	09_L7	0.5043381179715701
Acsl	key	06_G14	13_C23	0.440993187220446
Acsl	AP-2mu	06_G14	04_P7	0.4288166332357696
Act42A	CG42367	06_P14	01_E5	0.5899163629079245
Act42A	Elp3	06_P14	17_I20	0.5797616630392304
Act42A	vvl	06_P14	09_A15	0.5480164108196429
Act5C	SH3PX1	16_I14	13_K18	0.6443199063984076
Act5C	Rac1	16_I14	03_L19	0.5937483432022421
Act5C	Cdc42	16_I14	09_G6	0.5783002194517687
Act5C	Act87E	16_I14	01_C2	0.44063161857464733
Act87E	roq	01_C2	19_B5	0.43180520370385633
Act87E	Arp8	01_C2	11_I10	0.4280821852909273
Actbeta	Muc91C	14_H10	04_I2	0.43528017849083056
Actbeta	CG12934	14_H10	19_N19	0.42279837098814305
Actbeta	cta	14_H10	06_P11	0.4184957101344962
Actn3	CG12338	04_H15	06_L9	0.3634544244003892
Actn3	Pms2	04_H15	18_O3	0.3561160786042712
Actn3	Rae1	04_H15	10_N12	0.3526192803656045
ACXA	Rab7	19_A10	01_G1	0.404765057623012
ACXA	CG1273	19_A10	02_H7	0.38850830499180417
ACXA	TbCMF46	19_A10	14_F12	0.375737190354493
ACXC	CG15169	16_C23	16_D23	0.6421257371430461
ACXC	CG13377	16_C23	16_B22	0.6385241773881245
ACXC	uex	16_C23	16_P22	0.6181907941883048
ACXD	CG10265	05_M22	04_P1	0.3820931262640218
ACXD	CG43332	05_M22	17_D13	0.3763724187695349
ACXD	CG43333	05_M22	17_D13	0.3763724187695349
ACXE	CG1835	05_J21	05_B18	0.4325603251442374
ACXE	bru2	05_J21	05_B17	0.39313947715655695
ACXE	CG32756	05_J21	13_G14	0.3929694096073234
Ada1-1	CG7924	14_G5	04_A7	0.358192561534638
Ada1-1	CG10710	14_G5	08_L14	0.3561380331138219
Ada1-1	e(y)1	14_G5	19_H3	0.3456000392765497
Ada1-2	Gr36a	01_E3	04_E23	0.4322050567503904
Ada1-2	CG12009	01_E3	10_B10	0.3806950172584717
Ada1-2	CG31286	01_E3	16_N11	0.3738356911078139
Ada2a	Rpb4	18_G16	18_G16	1
Ada2a	RpII140	18_G16	02_I18	0.7594322584867402
Ada2a	RpII33	18_G16	10_N10	0.6652466887853944
Ada2b	CG17683	18_G15	14_D22	0.5088368318800957
Ada2b	CG6937	18_G15	03_O5	0.5023824244393651
Ada2b	rush	18_G15	18_G9	0.49999129883185195
Ada	CG34382	05_J8	19_O5	0.3803946196773159
Ada	Tudor-SN	05_J8	02_C8	0.35830293112244055
Ada	IM23	05_J8	03_L16	0.3449830536914165
ADD1	CG17565	05_J7	07_E2	0.41678193387207985
ADD1	gig	05_J7	02_C2	0.4131490052589551
ADD1	D1	05_J7	12_A17	0.4080346336043743
AdenoK	CG14407	04_F11	17_I17	0.4032326937637925
AdenoK	kel	04_F11	03_G11	0.39762993074702946
AdenoK	Neurochondrin	04_F11	06_H23	0.3682566586925102
Adgf-A2	phr6-4	07_H7	17_I16	0.4193628700712504
Adgf-A2	Sec24CD	07_H7	14_G7	0.40562927290873463
Adgf-A2	CG13074	07_H7	12_A7	0.3792692164512297
Adgf-B	CG2004	16_M23	17_C23	0.4791471532703544
Adgf-B	bru2	16_M23	05_B17	0.46225840209639013
Adgf-B	CG42361	16_M23	02_B13	0.42374777868618535
Adh	Orc3	05_I9	06_M3	0.3776065957585371
Adh	Osi15	05_I9	08_H20	0.35349118321515466
Adh	Caper	05_I9	07_L2	0.3334099169817988
Adk2	DIP-iota	07_M5	11_B12	0.4091028461033392
Adk2	CG32984	07_M5	07_B17	0.40458376833739496
Adk2	CG33217	07_M5	01_P15	0.3840298732538026
Adk3	CG42741	01_C10	14_K14	0.5068763810271831
Adk3	nesd	01_C10	11_B11	0.4457045084136309
Adk3	corto	01_C10	12_L24	0.400530984376192
AdSS	CG34056	18_H2	12_L8	0.4027172161593348
AdSS	Ufd1-like	18_H2	03_A18	0.40157441305119074
AdSS	CG7246	18_H2	19_J3	0.4000652243040821
Aduk	CG34305	02_N17	15_F19	0.443563729011181
Aduk	ewg	02_N17	06_J20	0.4200118072690821
Aduk	CG34367	02_N17	02_N16	0.404128676754994
Ady43A	CG43137	17_F22	14_O11	0.404805436473497
Ady43A	Osi4	17_F22	19_F24	0.3751957688937905
Ady43A	Trax	17_F22	19_F1	0.3630986753033869
Aef1	CG6023	09_P17	04_E15	0.49666731768925815
Aef1	beat-IIIc	09_P17	11_L24	0.4932509967476985
Aef1	obst-B	09_P17	10_E8	0.4840485201476732
aft	CG5402	05_J12	19_O24	0.4001121076898447
aft	mRpL44	05_J12	10_O6	0.36137332841651454
aft	Tudor-SN	05_J12	02_C8	0.35896280680744985
Ag5r2	SmydA-7	13_I14	15_E14	0.4619042573647158
Ag5r2	CG6123	13_I14	07_L23	0.38034281652469754
Ag5r2	CG43337	13_I14	11_J22	0.37604998620596664
Ag5r	LRR	18_N19	03_E15	0.4280854258909698
Ag5r	CG32374	18_N19	07_D13	0.34166220185766244
Ag5r	CG33690	18_N19	08_H16	0.335170064890059
AgmNAT	Jupiter	19_N11	05_B2	0.4002497052582346
AgmNAT	CG4404	19_N11	19_M24	0.3906245882716466
AgmNAT	CG3225	19_N11	19_B17	0.37864310751115227
AGO1	gw	13_K24	09_F2	0.7683061537387486
AGO1	Fur1	13_K24	15_O13	0.6673428715750216
AGO1	Unr	13_K24	03_E5	0.6208678035361422
Ack	AGO2	13_M18	19_E6	0.4913403921862069
AGO2	Csk	19_E6	02_K5	0.4838389481743587
AGO2	mAChR-A	19_E6	07_C6	0.4470386697949394
AGO3	tra2	17_L7	01_G12	0.45350182148246987
AGO3	snoRNA:Psi28S-2949	17_L7	14_M8	0.3752500107747507
AGO3	CG7140	17_L7	18_J23	0.3712508351091909
ago	His1:CG33801	06_L14	06_L7	0.4529131400638172
ago	Caf1-55	06_L14	19_L18	0.44974502882697215
ago	CG7546	06_L14	14_E6	0.4275385114101567
Agpat3	CG15870	08_O19	15_O16	0.42263591321887817
Agpat3	CG8673	08_O19	01_K17	0.39893936919307676
Agpat3	CG42486	08_O19	02_L3	0.39259275363211615
agt	CG6481	09_H8	12_N2	0.4756079717185107
agt	GCS1	09_H8	15_K11	0.43965657527056884
agt	CG34167	09_H8	10_O5	0.4320096326933744
AhcyL1	scrib	15_G1	10_L11	0.45654931826072204
AhcyL1	CG42851	15_G1	15_F15	0.4418102579695512
Ahcy	Spp	14_H23	04_P16	0.3709084119643769
Ahcy	CG43755	14_H23	14_O19	0.3616488557699866
Ahcy	CG15482	14_H23	18_G22	0.34961535595320387
AIF	fd96Ca	18_I5	04_B8	0.36105925763067725
AIF	Nulp1	18_I5	08_I17	0.3494498455804877
AIF	Hil	18_I5	03_K6	0.3456583113654585
AIMP1	Parp	08_L23	12_F11	0.4225209704141059
AIMP1	CG14635	08_L23	15_O8	0.41834910391819835
AIMP1	CG17078	08_L23	04_A14	0.39859244192810483
Akap200	CG1824	17_F10	17_I7	0.5095006350648819
Akap200	PGRP-LB	17_F10	16_A23	0.5051692937353214
Akap200	PICK1	17_F10	07_P8	0.4873202348297735
Akh	e(y)2	01_D1	10_F3	0.38756256553057455
Akh	CG2685	01_D1	11_J19	0.3455773449342591
Akh	CG42445	01_D1	03_L20	0.3335534252849091
akirin	CG5746	16_O9	11_K17	0.6072436114315363
akirin	CG9083	16_O9	03_H8	0.6048327709648315
akirin	CG13003	16_O9	16_P12	0.5505569018981297
Akt1	CG42240	10_F15	15_D3	0.4041060641758987
Akt1	Nup93-1	10_F15	14_E19	0.38751294151779536
Akt1	Nup58	10_F15	12_D14	0.381093411373965
Aladin	Gr77a	05_A4	19_K8	0.4742627224172853
Aladin	Tnpo-SR	05_A4	07_P23	0.41846117821821954
Aladin	phm	05_A4	16_P18	0.4151072840427293
AlaRS	CG8369	14_P14	12_O19	0.4011271587673631
AlaRS	Ir93a	14_P14	03_K3	0.3946458189766828
AlaRS	CG17931	14_P14	05_L1	0.38044113281413466
Alas	tko	09_E23	01_E14	0.39311003030054287
Alas	wts	09_E23	13_O12	0.37926129237789963
Alas	COX8	09_E23	01_H18	0.3728576884777128
Ald1	Mtor	11_E20	13_J21	0.42794759261866416
Ald1	Clp	11_E20	09_L13	0.4177140895380437
Ald1	Flacc	11_E20	09_A19	0.4085852103590349
Alg10	CG40486	03_M6	06_D10	0.426581248175512
Alg10	Lcch3	03_M6	02_K9	0.3796624632201863
Alg10	Cdc23	03_M6	17_A4	0.33657437855670186
Alg11	Elk	01_K5	02_K13	0.5233322088938872
Alg11	Hmu	01_K5	05_M5	0.5074840800842162
Alg11	veil	01_K5	15_M1	0.4222088060891685
Alg14	verm	08_I13	05_P23	0.3888941499810616
Alg14	CG12992	08_I13	04_A15	0.38186308071107766
Alg14	CG15096	08_I13	04_P23	0.37281508708237177
Alg3	wa-cup	10_L22	04_I24	0.38735058631776176
Alg3	CG32720	10_L22	02_O6	0.37542865828940825
Alg3	Mpp6	10_L22	10_J4	0.35533903639669623
Alh	CG6044	09_M20	03_L22	0.4893745345689765
Alh	PTPMT1	09_M20	09_I13	0.4511959618373326
Alh	NimB5	09_M20	07_F17	0.43562711810024446
AlkB	Gsc	04_F3	15_P6	0.4232723116902374
AlkB	Raf	04_F3	13_J5	0.41270027436176904
AlkB	Msp300	04_F3	11_P21	0.409566763943649
Alk	skd	02_K7	18_A10	0.48451400987902654
Alk	Brd8	02_K7	18_G14	0.39609340088519296
Alk	kto	02_K7	18_M17	0.39073162061622063
al	CG32176	01_B22	04_O16	0.5045659111683505
al	CG18636	01_B22	03_H19	0.495731715377958
al	CG13722	01_B22	18_A13	0.45136286673294423
Alp11	LysS	01_A19	11_H4	0.4219863792794416
Alp11	CG10948	01_A19	01_C18	0.38222658475520715
Alp11	drongo	01_A19	17_I22	0.3812851555902255
Alp12	Cht10	09_I9	01_A16	0.46330677712729
Alp12	CG4301	09_I9	01_A11	0.45851706009258164
Alp12	fidipidine	09_I9	01_P24	0.4135762504703966
Alp5	CG7255	11_F11	04_E8	0.48333137875522325
Alp5	CG34124	11_F11	05_E20	0.4184499603576429
Alp5	CG34026	11_F11	03_K9	0.40235241448369147
Alp7	XNP	15_G15	10_H7	0.4416466291000004
Alp7	jbug	15_G15	01_A17	0.411174147816658
Alp7	Su(z)2	15_G15	08_N7	0.4100789300454662
Alp8	Srp14	03_E6	06_O1	0.4704129721279543
Alp8	SmD2	03_E6	08_A2	0.4646645881809173
Alp8	His2A:CG33829	03_E6	11_A16	0.432560610999285
alpha-Cat	CG6304	16_L10	08_A11	0.3729114698829059
alpha-Cat	CG8157	16_L10	09_F22	0.36359408243373786
alpha-Cat	CG10602	16_L10	17_L11	0.3623347164179386
alpha-Catr	CG43902	02_L18	17_D14	0.39609567345287056
alpha-Catr	Orc6	02_L18	19_D5	0.3801263154587327
alpha-Catr	Ost48	02_L18	03_C12	0.3786826481537715
alpha-Est1	rho-6	13_A17	01_J5	0.41780126655354743
alpha-Est1	CG10395	13_A17	03_D5	0.3924207242823893
alpha-Est1	CG12994	13_A17	16_L7	0.39054907465770067
alpha-Est2	CG15517	01_G5	15_J21	0.45301507182205486
alpha-Est2	bap	01_G5	02_P15	0.449856864430571
alpha-Est2	CG7497	01_G5	08_F19	0.42094405847818445
alpha-Est4	Obp19c	01_I8	18_D17	0.5094161442258097
alpha-Est4	CG13538	01_I8	04_A12	0.46993314536428504
alpha-Est4	Vha100-2	01_I8	08_C16	0.4514953157929719
alpha-Est5	CG8564	01_K6	07_F23	0.4366910238215371
alpha-Est5	CG12056	01_K6	12_D16	0.4326579887794083
alpha-Est5	Oatp74D	01_K6	10_G13	0.4022296172391255
alpha-Est6	Toll-9	05_I16	12_N15	0.43629096139208806
alpha-Est6	HDAC1	05_I16	10_J3	0.37777859964319915
alpha-Est6	MED18	05_I16	13_J15	0.3558950457319781
alpha-Est9	SNF4Agamma	01_H3	06_M23	0.4873513250887857
alpha-Est9	shrb	01_H3	05_D20	0.48091940354120694
alpha-Est9	Drak	01_H3	12_O20	0.47608416968385603
alpha-Man-Ic	CG42342	19_G14	01_O7	0.3620480308461743
alpha-Man-Ic	dl	19_G14	10_P8	0.3398310104044999
alpha-Man-Ic	Sdc	19_G14	08_B13	0.3291800007165506
alpha-Man-IIa	CG6216	08_B9	05_C14	0.4247887311208513
alpha-Man-IIa	CG32235	08_B9	07_G12	0.3857933596170925
alpha-Man-IIa	Pfdn5	08_B9	18_A12	0.38505428294498534
alpha-Man-IIb	Mef2	14_B10	06_J14	0.39465700803684356
alpha-Man-IIb	Meltrin	14_B10	11_A6	0.38626501277847847
alpha-Man-IIb	Nca	14_B10	01_B12	0.3687525287546027
alpha4GT1	TM4SF	16_O11	16_N9	0.4411294768518533
alpha4GT1	ben	16_O11	07_O9	0.43457525371887434
alpha4GT1	CG31705	16_O11	07_J13	0.4329398388498798
alpha4GT2	aurB	13_K13	19_D17	0.4044090545175555
alpha4GT2	CG32006	13_K13	10_N17	0.35401402388852055
alpha4GT2	CG1924	13_K13	17_L15	0.3439814307063311
alphaCOP	betaCOP	16_E12	02_I13	0.6257218618433383
alphaCOP	gammaCOP	16_E12	16_L6	0.5571837626984903
alphaCOP	crn	16_E12	19_I11	0.4738805985813422
alphaTry	lncRNA:CR40172	07_P22	17_L24	0.4083311518689877
alphaTry	CG14810	07_P22	17_H1	0.3916223770279041
alphaTry	Amy-p	07_P22	06_I13	0.3842540887147125
alphaTub84D	CG43311	09_B8	10_A18	0.37052770912924715
alphaTub84D	CG14495	09_B8	14_I20	0.3555771667556866
alphaTub84D	mnd	09_B8	06_C1	0.3494041980692866
alphaTub85E	CG5111	18_E10	02_C7	0.4633025728565085
alphaTub85E	CG2182	18_E10	15_C6	0.4199796292077378
alphaTub85E	CG3032	18_E10	10_P17	0.3921031207990521
alph	lid	10_J8	10_H19	0.6389901110905315
alph	spen	10_J8	10_N22	0.5956876673097271
alph	Atx2	10_J8	06_E11	0.5922403097130289
Alr	Cam	08_K7	09_B22	0.4172177325316961
Alr	CG44153	08_K7	02_J4	0.40270309866522214
Alr	Tao	08_K7	14_E3	0.3785632478408314
Als2	CG34384	17_O13	17_H21	0.5149813253872894
Als2	g	17_O13	02_A11	0.4404872775728714
alpha-Est9	Als2	01_H3	17_O13	0.4361103565968189
Amacr	CG16852	16_G12	04_L19	0.45611595099552216
Amacr	Sdhaf3	16_G12	12_L23	0.42986601669283075
Amacr	CG6026	16_G12	12_N22	0.4186288414436558
amd	Cam	08_K1	09_B22	0.4326442081407136
amd	CG10132	08_K1	01_H11	0.4200273552166577
amd	CG17672	08_K1	16_C3	0.40209111572110234
Amnionless	ey	13_H2	14_I24	0.4576124254085614
Amnionless	CG11403	13_H2	11_K2	0.4371783612900213
Amnionless	CG3770	13_H2	05_D10	0.42302876872665696
AMPdeam	CG33159	05_O5	15_N22	0.3999852608133034
AMPdeam	CG4594	05_O5	16_O17	0.3866396576837704
AMPdeam	CG17575	05_O5	06_D3	0.3829535315264739
Amph	apolpp	19_B3	18_J2	0.3765100946978496
Amph	PIG-H	19_B3	04_O14	0.37404745014158897
Amph	para	19_B3	09_C7	0.36323692407993585
AMPKalpha	SNF4Agamma	09_L15	06_M23	0.7672291622229117
AMPKalpha	Hip1	09_L15	17_L17	0.721938093411543
AMPKalpha	CG32066	09_L15	05_O3	0.7213227610103667
Amun	Rok	01_H5	09_K24	0.5678090707763871
Amun	mor	01_H5	02_C6	0.5466107751359516
Amun	tsr	01_H5	13_L14	0.5442238997203004
Amy-p	CG34305	06_I13	15_F19	0.4501327288812748
Amy-p	CG6044	06_I13	03_L22	0.40431712690164623
Amy-p	rst	06_I13	03_P21	0.402737292011548
ana2	S1P	13_E19	13_D20	0.411342722363448
ana2	Diedel3	13_E19	10_G23	0.407038825963275
ana2	Or13a	13_E19	15_G12	0.39857433550015803
ana3	Ir8a	19_N6	03_B18	0.3713314322077543
ana3	snoRNA:MeU6-A47	19_N6	15_N23	0.36900111535908375
ana3	CG31365	19_N6	19_P6	0.36339080874168983
Ance-3	CG13295	07_L10	03_A13	0.40864393203004007
Ance-3	Rab27	07_L10	17_G10	0.3996986918011077
Ance-3	dpr13	07_L10	13_C2	0.35737177932725167
Ance-4	holn1	01_H10	14_A7	0.38398863968918956
Ance-4	hpo	01_H10	19_H4	0.36226043277623976
Alh	Ance-4	09_M20	01_H10	0.3619498938968904
Ance-5	Hsc70-2	17_A3	16_N7	0.46091055803581504
Ance-5	Rab14	17_A3	14_N12	0.45513372512402167
Ance-5	CG10887	17_A3	17_B2	0.4339220306538385
Ance	srl	14_B13	13_C15	0.40961547560787853
Ance	CG34050	14_B13	04_C24	0.40009982794337917
Ance	hyd	14_B13	09_M6	0.380090488622572
Andorra	KFase	05_N7	18_D20	0.4588197544693858
Andorra	ste24b	05_N7	12_P8	0.4467108283257008
Andorra	Mco1	05_N7	17_J12	0.4169775402900266
angel	HipHop	13_M23	16_B5	0.39597402256651737
ACXE	angel	05_J21	13_M23	0.38508379320841474
angel	CG31207	13_M23	03_F18	0.3822963635713576
Ankle2	baf	13_F14	02_G16	0.42769171630720454
Ankle2	ptc	13_F14	17_I24	0.35083498929513923
Ankle2	CycB	13_F14	19_J12	0.3421459732946212
Ank	Sec71	11_C12	19_G15	0.4467927904139172
Ank	RpS24	11_C12	06_H8	0.4346522752549986
Ank	RpII15	11_C12	18_K1	0.4291786718330816
anne	pix	15_K23	08_F23	0.47991510850338387
anne	larp	15_K23	09_K18	0.47750040664438553
anne	CG17119	15_K23	06_B16	0.4655676400848935
Anp	CkIIbeta	10_E9	07_B2	0.420780977872024
Anp	PCNA	10_E9	18_I7	0.41407680233765193
Anp	Rae1	10_E9	10_N12	0.40203823703178043
AnxB10	ORMDL	15_B8	08_F1	0.4267100912430396
AnxB10	hpRNA:CR32207	15_B8	09_J8	0.4155202820298359
AnxB10	moon	15_B8	19_O14	0.3712370255652012
aop	scu	02_G10	18_N15	0.3669401447229004
aop	PRL-1	02_G10	11_F20	0.3668923654174878
aop	pelo	02_G10	03_C8	0.34980261342418956
Aos1	Uba2	06_F8	11_H2	0.6030588800523589
Aos1	lwr	06_F8	02_K10	0.6000245985794953
Aos1	Rm62	06_F8	19_G10	0.5696831225633203
AOX1	CG13614	03_O23	02_H8	0.3702185675668538
AOX1	SmydA-2	03_O23	13_E9	0.369324023490043
AOX1	slv	03_O23	08_E15	0.36230205262600523
AOX2	Gr93c	06_F23	05_P3	0.40263796954278036
AOX2	Uvrag	06_F23	06_B3	0.37395249002550807
AOX2	salm	06_F23	12_P1	0.3692665539886065
AOX3	CG12728	01_F14	01_B2	0.37827398121785416
AOX3	sona	01_F14	17_P17	0.3585721040600241
Anp	AOX3	10_E9	01_F14	0.3522810571120778
AOX4	Slmap	11_H19	06_O23	0.5110767520349736
AOX4	CG6201	11_H19	11_M5	0.38020226325598244
AOX4	MYPT-75D	11_H19	17_O3	0.35940303427218373
AP-1-2beta	AP-2sigma	13_D22	06_F22	0.8357007262482703
AP-1-2beta	AP-2mu	13_D22	04_P7	0.7394993943644386
AP-1-2beta	Chc	13_D22	14_F15	0.6960635729039372
AP-1mu	CG33303	03_P5	11_E10	0.43969924987347037
AP-1mu	pirk	03_P5	15_K8	0.42675647209021933
AP-1mu	CG11858	03_P5	13_B23	0.421500361112651
AP-1-2beta	AP-2alpha	13_D22	11_N7	0.6640936464915761
AP-2alpha	AP-2sigma	11_N7	06_F22	0.6079265132031385
AP-2alpha	cic	11_N7	04_E2	0.5577759224325675
AP-2mu	AP-2sigma	04_P7	06_F22	0.6871150266771243
AP-2mu	Rpb11	04_P7	06_N12	0.5711079183549177
AP-2sigma	sty	06_F22	07_H18	0.6761847852389061
Apc2	CG4815	13_N10	19_I14	0.3572731221951405
Anp	Apc2	10_E9	13_N10	0.3543832809224885
Apc2	CG32109	13_N10	14_H18	0.3507881204288027
APC4	Cdc16	16_A16	18_M7	0.6130381817193618
APC4	ida	16_A16	13_F11	0.5879404764546559
APC4	mr	16_A16	13_D13	0.5529769083810101
aph-1	dac	05_A14	01_G23	0.39030551518955714
aph-1	CG34040	05_A14	08_J10	0.35600420907603064
aph-1	HPS1	05_A14	03_E14	0.35363392635729185
aPKC	CG6184	04_E14	02_B6	0.4218422376038558
aPKC	Hr78	04_E14	18_C6	0.4112693049023369
